ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
42744,9,214,1
42745,1,220,1
42745,4,577,1
42745,6,462,1
42745,6,536,1
42745,6,538,1
42745,8,215,1
42745,10,535,1
42746,1,484,1
42746,1,588,1
42746,4,529,1
42746,4,537,1
42746,9,215,1
42746,9,477,1
42746,9,484,1
42746,9,576,1
42746,10,464,1
42747,4,484,1
42747,6,537,1
42747,9,473,1
42747,9,479,1
42748,4,529,1
42748,9,473,1
42749,1,358,1
42749,6,485,1
42749,9,371,1
42749,10,229,1
42749,10,529,1
42750,1,232,1
42750,1,541,1
42750,6,477,1
42750,8,530,1
42750,9,360,1
42750,9,488,1
42750,9,529,1
42750,10,478,1
42751,9,540,1
42751,10,588,1
42752,4,214,1
42752,4,220,1
42752,4,528,1
42752,6,477,1
42752,6,529,1
42752,8,484,1
42752,9,477,1
42752,9,485,1
42753,1,528,1
42753,4,487,1
42753,4,528,1
42753,6,481,2
42753,8,220,1
42753,9,471,1
42753,9,474,1
42753,9,477,1
42753,10,529,1
42754,1,478,1
42754,9,214,1
42754,9,541,1
42754,10,475,1
42754,10,539,1
42755,8,484,1
42755,8,538,1
42755,9,485,1
42755,10,215,1
42755,10,573,1
42756,4,477,1
42756,8,529,1
42756,9,489,1
42756,10,479,1
42757,4,529,1
42757,6,535,1
42757,6,540,1
42757,8,529,1
42757,9,215,1
42757,9,477,1
42757,10,215,1
42758,6,223,1
42759,6,214,1
42759,9,477,2
42760,1,529,1
42760,6,479,1
42761,4,480,1
42761,4,530,1
42761,6,226,1
42761,6,477,1
42761,6,537,1
42762,1,472,1
42762,1,528,1
42762,6,485,1
42763,1,537,1
42763,4,485,1
42763,6,536,1
42763,8,477,1
42763,9,358,1
42763,9,371,1
42763,9,487,1
42763,10,481,1
42763,10,530,1
42764,4,606,1
42764,6,528,1
42764,6,537,1
42764,9,466,1
42764,10,530,1
42765,4,528,1
42765,9,462,1
42766,4,477,1
42766,6,537,1
42766,8,479,1
42766,8,535,1
42767,1,477,1
42767,1,480,1
42767,1,600,1
42767,4,477,1
42767,4,485,1
42767,9,528,1
42768,8,232,1
42768,10,529,1
42768,10,538,1
42769,10,480,1
42770,4,529,1
42770,8,480,2
42770,9,560,1
42771,4,477,1
42771,4,541,1
42771,6,214,1
42771,6,478,1
42771,6,481,1
42771,6,535,1
42771,9,478,1
42771,9,604,1
42772,1,223,1
42772,1,485,1
42772,4,479,1
42772,4,528,1
42772,4,530,1
42772,4,539,1
42772,8,535,1
42772,10,487,1
42772,10,600,1
42773,1,582,1
42773,4,476,1
42773,4,487,1
42773,8,539,1
42773,8,562,1
42773,9,472,1
42773,9,528,1
42773,10,478,1
42773,10,539,1
42774,4,215,1
42774,4,478,1
42774,6,478,1
42774,9,477,1
42775,8,226,1
42776,1,223,1
42777,1,476,1
42777,6,477,1
42777,6,478,2
42777,6,529,1
42777,10,539,1
42778,1,477,1
42778,4,477,1
42778,4,480,1
42778,6,485,1
42778,9,480,1
42778,9,485,1
42778,10,479,1
42779,9,214,1
42779,9,528,1
42780,1,229,1
42780,4,530,1
42780,6,535,1
42780,9,477,1
42780,10,480,1
42781,4,223,1
42781,4,536,1
42781,4,541,1
42781,6,477,1
42781,9,606,1
42782,8,538,1
42783,1,214,1
42783,1,530,1
42783,1,536,1
42783,4,214,1
42783,4,605,2
42783,6,485,1
42783,6,490,1
42783,9,385,1
42783,9,477,1
42784,4,220,1
42784,6,530,1
42785,4,528,1
42785,4,529,1
42785,4,537,1
42785,9,583,1
42786,1,214,1
42786,1,371,1
42786,4,573,1
42786,8,229,1
42786,9,477,1
42786,9,530,1
42786,10,485,1
42787,6,477,1
42787,9,477,1
42787,9,580,1
42788,4,223,1
42788,4,232,1
42788,8,485,1
42788,9,479,1
42788,9,484,1
42789,4,226,1
42789,4,462,1
42789,4,475,1
42789,9,539,1
42789,10,475,1
42789,10,477,1
42790,1,530,1
42790,4,220,1
42790,6,475,1
42790,8,478,1
42790,8,484,1
42790,8,588,1
42790,8,599,1
42790,9,477,2
42790,9,562,1
42791,1,466,1
42791,1,477,1
42791,1,480,1
42792,1,537,1
42792,5,540,1
42792,6,477,1
42793,1,235,1
42793,1,528,1
42793,1,538,1
42793,4,529,1
42793,6,477,1
42793,6,528,1
42793,6,583,1
42793,9,226,1
42793,9,478,1
42794,4,478,1
42794,6,478,1
42794,9,479,1
42794,9,482,1
42794,9,539,1
42795,4,477,2
42795,4,535,1
42795,4,595,1
42795,8,215,1
42795,8,529,1
42795,9,220,1
42795,1,480,1
42795,6,530,1
42795,8,582,1
42795,10,485,1
42796,1,485,1
42796,4,528,1
42796,6,530,1
42796,9,474,1
42797,1,215,1
42797,1,540,1
42797,4,528,1
42797,6,462,1
42797,10,223,1
42798,4,479,1
42798,6,232,1
42798,6,528,1
42798,9,528,1
42798,10,487,1
42799,4,354,1
42799,4,477,1
42799,6,580,1
42799,9,223,1
42800,6,220,1
42801,1,223,1
42801,4,491,1
42801,4,535,1
42801,4,575,1
42801,6,476,1
42801,9,214,1
42802,1,490,1
42802,4,538,1
42802,8,215,1
42802,9,354,1
42802,9,605,1
42802,10,606,1
42803,1,352,1
42803,6,472,1
42803,9,536,1
42804,6,478,1
42804,10,528,1
42805,4,478,1
42805,4,485,1
42805,6,214,1
42806,1,477,1
42806,4,232,1
42806,4,577,1
42806,8,479,1
42806,10,360,1
42807,4,482,1
42807,8,480,2
42807,9,352,1
42807,9,358,1
42808,4,232,1
42808,4,477,1
42808,6,529,1
42808,9,530,1
42808,9,606,1
42809,6,215,1
42809,6,480,1
42810,1,471,1
42810,4,538,1
42810,4,571,1
42810,4,587,1
42810,9,489,1
42810,9,537,1
42811,4,480,1
42811,4,535,1
42811,6,214,1
42811,9,541,1
42812,1,356,1
42812,4,529,1
42812,6,464,1
42812,9,538,1
42812,10,479,1
42813,1,528,1
42813,4,477,1
42813,4,478,1
42813,9,475,1
42814,1,480,1
42814,4,490,1
42814,4,605,1
42814,9,466,1
42814,10,538,1
42815,1,540,1
42815,1,604,1
42815,6,538,1
42815,9,220,1
42815,9,573,1
42815,10,581,1
42816,1,478,1
42816,6,538,1
42816,9,220,1
42816,9,480,1
42816,10,485,1
42817,4,477,1
42817,6,487,1
42817,8,536,1
42818,9,477,1
42819,4,530,1
42819,6,214,1
42819,6,530,1
42819,9,477,1
42819,9,538,1
42820,1,220,1
42820,4,483,1
42820,8,485,1
42821,4,479,1
42821,6,223,1
42821,6,477,1
42821,10,214,1
42822,1,215,1
42822,4,214,1
42822,4,537,1
42822,9,223,1
42822,9,473,1
42822,9,476,1
42822,10,223,1
42823,1,220,1
42823,1,475,1
42823,1,528,1
42823,4,475,1
42823,6,480,1
42823,10,214,1
42823,10,596,1
42824,1,479,1
42824,1,566,1
42824,6,485,1
42824,6,537,1
42825,1,387,1
42825,4,482,1
42825,4,528,1
42825,6,480,1
42826,4,215,1
42826,4,354,1
42826,4,580,1
42826,6,229,1
42826,6,528,1
42826,8,383,1
42827,8,220,1
42827,10,480,1
42828,4,477,1
42828,4,491,1
42828,6,486,1
42828,9,235,1
42828,9,536,1
42828,9,564,1
42828,10,480,1
42828,10,535,1
42829,4,480,1
42829,4,538,1
42829,8,360,1
42829,8,477,1
42829,9,477,1
42830,6,480,1
42830,8,539,1
42831,1,220,1
42831,1,356,1
42831,1,477,1
42831,4,214,1
42831,4,223,2
42831,4,574,1
42831,8,605,1
42832,8,214,1
42832,8,480,1
42832,10,528,1
42832,10,530,1
42832,10,577,1
42833,4,476,1
42833,4,540,1
42833,9,488,1
42833,10,215,1
42834,9,539,1
42835,4,528,1
42835,6,220,1
42835,8,471,1
42835,8,560,1
42835,9,484,1
42835,10,383,1
42835,10,566,1
42836,1,537,1
42836,4,536,1
42836,4,588,1
42836,9,375,1
42836,9,484,1
42836,9,563,1
42837,4,530,1
42837,6,576,1
42837,9,477,1
42837,10,478,1
42837,10,606,1
42838,1,477,1
42838,4,478,2
42838,9,483,1
42839,4,590,1
42839,6,480,1
42839,10,215,1
42839,10,529,1
42839,10,590,1
42840,1,490,1
42840,9,480,1
42841,4,479,1
42841,4,537,1
42841,4,581,1
42841,8,529,1
42842,1,539,1
42842,8,472,1
42842,8,605,1
42842,9,565,1
42842,9,567,1
42843,1,383,1
42843,4,561,1
42843,9,479,1
42843,10,479,1
42843,10,577,1
42844,4,214,1
42844,4,478,1
42844,6,528,1
42844,10,487,1
42845,8,583,1
42845,10,482,1
42846,4,235,1
42846,4,477,1
42846,9,383,1
42847,4,528,1
42847,8,530,1
42847,8,584,1
42848,1,484,1
42848,4,215,1
42848,4,226,1
42848,4,480,1
42848,6,220,1
42848,6,466,1
42848,8,538,1
42848,9,480,1
42849,4,220,1
42849,4,477,1
42849,9,589,1
42850,1,485,1
42850,6,464,1
42850,9,479,1
42850,9,538,1
42850,10,481,1
42851,1,220,1
42851,1,480,1
42851,4,478,1
42851,4,480,1
42851,9,488,1
42852,1,480,1
42852,1,529,1
42852,4,215,1
42852,4,529,1
42852,9,214,1
42852,9,580,1
42853,4,358,1
42853,8,528,1
42853,9,377,1
42853,9,535,1
42853,10,215,1
42853,10,480,1
42853,10,528,1
42854,1,541,1
42854,4,474,1
42854,4,490,1
42854,4,528,1
42854,10,358,1
42855,1,480,1
42855,4,215,1
42855,4,478,1
42855,8,581,1
42855,9,480,1
42856,1,485,1
42856,4,215,1
42856,4,360,1
42856,10,479,1
42857,4,214,1
42857,4,477,1
42857,4,528,1
42857,9,480,1
42858,9,529,1
42859,4,606,1
42859,6,476,1
42859,8,538,1
42859,8,571,1
42860,1,483,1
42860,4,480,1
42860,4,483,1
42860,8,223,1
42860,8,541,1
42860,9,480,1
42860,9,487,1
42861,4,215,1
42861,4,477,1
42861,6,466,1
42861,6,485,1
42861,8,528,1
42861,9,480,1
42862,4,578,1
42862,10,214,1
42863,4,476,1
42863,4,537,1
42863,9,223,1
42863,9,535,1
42864,1,484,1
42864,4,220,1
42864,6,530,1
42864,9,480,1
42864,9,528,1
42864,9,537,1
42865,1,578,1
42865,4,385,1
42865,4,480,1
42865,6,478,1
42865,6,537,1
42866,1,223,1
42866,1,480,1
42866,6,536,1
42866,10,541,1
42867,4,214,1
42867,4,229,1
42867,4,479,1
42867,4,606,1
42867,10,360,1
42867,10,604,1
42869,4,485,1
42869,4,529,1
42869,6,483,1
42869,6,485,1
42869,6,536,1
42869,9,477,1
42870,1,480,1
42870,1,489,1
42870,6,214,1
42870,6,235,1
42870,6,485,1
42870,9,214,1
42871,1,569,1
42871,6,480,1
42871,6,537,1
42871,8,466,1
42871,9,214,1
42871,9,487,1
42871,9,488,1
42872,1,478,1
42872,6,477,1
42872,10,214,1
42873,9,536,1
42874,1,480,1
42874,4,223,1
42874,9,214,1
42874,9,389,1
42875,1,471,1
42875,4,573,1
42875,4,582,1
42875,6,226,1
42876,1,358,1
42876,1,535,1
42876,4,226,1
42876,4,537,1
42876,6,214,1
42876,9,487,1
42877,4,214,1
42877,4,478,1
42877,4,487,1
42877,9,215,1
42878,1,354,1
42878,1,606,1
42878,4,574,1
42878,4,577,1
42879,1,462,1
42879,6,362,1
42879,6,528,1
42879,8,536,1
42879,9,562,1
42879,9,579,1
42880,1,474,1
42880,8,215,1
42880,9,223,1
42880,9,488,1
42880,10,564,1
42881,1,528,1
42881,6,528,1
42881,8,539,1
42881,9,479,1
42881,10,220,1
42881,10,235,1
42881,10,530,1
42882,1,214,1
42882,1,528,1
42882,4,538,1
42882,8,229,1
42883,4,226,1
42883,4,477,1
42883,9,220,1
42883,9,482,1
42883,10,529,1
42884,1,362,1
42884,8,214,1
42884,9,214,1
42884,9,220,1
42884,9,379,1
42884,9,462,1
42884,9,478,1
42884,10,485,1
42885,1,479,1
42885,1,529,1
42885,1,538,1
42885,4,478,1
42885,4,480,1
42885,4,605,1
42885,9,220,1
42885,9,480,1
42885,9,537,1
42885,9,582,1
42885,10,530,1
42886,1,528,1
42886,6,360,1
42886,6,535,1
42886,6,536,1
42886,9,484,1
42886,9,584,1
42886,10,477,1
42887,6,582,1
42887,8,358,1
42887,8,578,1
42888,1,481,1
42888,6,477,1
42889,1,538,1
42889,9,478,1
42889,9,479,1
42889,9,488,1
42889,10,537,1
42890,6,466,1
42891,1,220,1
42891,1,477,1
42892,6,476,1
42892,6,485,1
42892,8,530,1
42892,9,360,1
42892,10,536,1
42893,1,462,1
42893,1,539,1
42893,1,574,1
42893,4,352,1
42893,4,464,1
42893,4,478,1
42893,4,485,1
42893,6,235,1
42893,9,352,1
42893,9,464,1
42893,9,537,1
42893,9,538,1
42894,1,356,1
42894,1,537,1
42894,4,360,1
42894,8,563,1
42894,8,605,1
42894,9,477,1
42894,9,485,1
42895,1,478,1
42895,1,535,1
42895,6,528,1
42895,9,387,1
42895,9,471,1
42896,1,466,1
42896,1,477,1
42896,1,581,1
42896,4,477,1
42897,4,479,1
42897,6,223,1
42897,9,485,1
42897,9,529,1
42897,9,584,1
42898,4,478,1
42898,9,214,1
42898,9,529,1
42898,9,537,1
42898,10,477,1
42899,4,220,1
42899,8,476,1
42899,8,581,1
42899,9,214,1
42899,9,215,1
42900,1,537,1
42900,4,462,1
42900,6,229,1
42900,9,491,1
42900,10,214,1
42900,10,477,1
42901,1,223,1
42901,6,220,1
42901,6,529,1
42901,8,485,1
42901,9,480,1
42901,10,478,1
42902,8,480,1
42902,9,479,1
42902,10,466,1
42903,1,354,1
42903,1,481,1
42903,9,489,1
42903,9,528,1
42903,9,535,1
42903,10,352,1
42903,10,597,1
42904,10,535,1
42905,1,356,1
42905,9,487,1
42905,10,563,1
42906,1,528,1
42906,4,479,1
42906,8,586,1
42906,9,362,1
42907,8,482,1
42907,8,536,1
42907,9,462,1
42907,9,477,1
42907,10,220,1
42907,10,477,1
42908,1,232,1
42908,1,485,1
42908,4,529,1
42908,6,220,1
42908,6,476,1
42908,6,488,1
42908,9,477,1
42908,9,584,1
42909,6,528,1
42909,9,539,1
42909,9,562,1
42909,9,563,1
42910,1,479,1
42910,1,480,1
42910,1,485,1
42910,1,487,1
42910,9,474,1
42910,10,581,1
42911,6,223,1
42911,9,477,1
42911,9,478,1
42911,9,484,1
42911,9,539,1
42912,1,472,1
42912,6,477,1
42912,9,538,1
42913,4,478,1
42913,4,537,1
42913,10,220,1
42914,1,214,1
42914,1,480,1
42914,1,587,1
42914,4,387,1
42914,4,528,2
42914,8,381,1
42914,10,477,1
42914,10,487,1
42915,4,356,1
42915,4,587,1
42915,8,541,1
42915,9,477,1
42916,6,491,1
42916,8,477,1
42916,9,477,1
42916,10,223,1
42916,10,477,1
